state_and_capital,geo_zone,date,average_price
Borno,North East,2019-09-01,145.095
Borno,North East,2019-10-01,145.555555555556
Borno,North East,2019-11-01,141.5
Borno,North East,2019-12-01,145.352941176471
Borno,North East,2020-01-01,146.5
Borno,North East,2020-02-01,146.25
Borno,North East,2020-03-01,146.5
Borno,North East,2020-04-01,140.5
Borno,North East,2020-05-01,138.1
Borno,North East,2020-06-01,130.666666666667
Borno,North East,2020-07-01,144.33333333333334
Borno,North East,2020-08-01,149.33333333333334
Borno,North East,2020-09-01,162.9090909090909
Borno,North East,2020-10-01,161.9
Borno,North East,2020-11-01,165.272727272727
Borno,North East,2020-12-01,164.818181818182
Borno,North East,2021-01-01,162
Borno,North East,2021-02-01,165.818181818182
Borno,North East,2021-03-01,164.92307692307693
Borno,North East,2021-04-01,152.3
Borno,North East,2021-05-01,162.272727272727
Borno,North East,2021-06-01,160.1
Borno,North East,2021-07-01,169.625
Borno,North East,2021-08-01,161.714285714286
Borno,North East,2021-09-01,164
Borno,North East,2021-10-01,165.181818181818
Borno,North East,2021-11-01,165
Borno,North East,2021-12-01,165.75
Borno,North East,2022-01-01,155.8181818181818
Borno,North East,2022-02-01,170
Borno,North East,2022-03-01,184.1818181818182
Borno,North East,2022-04-01,165.86
Borno,North East,2022-05-01,167.41666666666666
Borno,North East,2022-06-01,190.333333333333
Borno,North East,2022-07-01,185.375
Borno,North East,2022-08-01,179.1818181818182
Borno,North East,2022-09-01,184.5
Borno,North East,2022-10-01,192.3
Borno,North East,2022-11-01,193.18
Borno,North East,2022-12-01,200.875
Borno,North East,2023-01-01,193.9090909090909
Borno,North East,2023-02-01,214.545454545455
Borno,North East,2023-03-01,324.545454545455
Borno,North East,2023-04-01,289.090909090909
Borno,North East,2023-05-01,248.181818181818
Borno,North East,2023-06-01,557.142857142857
Cross River,South South,2019-01-01,144.69230769230768
Cross River,South South,2019-02-01,145.066666666667
Cross River,South South,2019-03-01,146.5
Cross River,South South,2019-04-01,147.411764705882
Cross River,South South,2019-05-01,145.777777777778
Cross River,South South,2019-06-01,146.071428571429
Cross River,South South,2019-07-01,145.923076923077
